constant    1: beta    0, exp    1
constant  331: beta   89, exp  114
constant  332: beta  179, exp  222
constant  333: beta  159, exp  190
constant  334: beta   77, exp  101
constant  335: beta  103, exp  142
constant  336: beta   69, exp  101
constant  337: beta  171, exp  217
constant  338: beta  160, exp  192
constant  339: beta   77, exp  101
constant  340: beta  103, exp  142
constant  341: beta  160, exp  204
constant  342: beta  172, exp  217
constant  343: beta   73, exp  102
constant  344: beta   72, exp  109
constant  345: beta   65, exp   95
constant  346: beta   65, exp   98
constant  347: beta   65, exp   95
constant  348: beta   65, exp   98
constant  349: beta   66, exp   96
constant  350: beta   80, exp  115
constant  351: beta  111, exp  165
constant  352: beta   99, exp  150
constant  353: beta   25, exp   45
constant  354: beta   58, exp  100
constant  355: beta   11, exp   15
constant  356: beta   80, exp  101
constant  357: beta   80, exp  101
constant  358: beta   95, exp  118
constant  359: beta   66, exp   91
constant  360: beta   66, exp   91
constant  361: beta   66, exp   91
constant  362: beta    1, exp    3
constant  363: beta    6, exp   15
constant  364: beta   18, exp   32
constant  365: beta    2, exp    5
constant  366: beta   19, exp   34
constant  367: beta   41, exp   64
constant  368: beta    6, exp    9
constant  369: beta   48, exp   77
constant  370: beta  118, exp  182
constant  371: beta  161, exp  205
constant  372: beta  131, exp  169
constant  373: beta  230, exp  263
constant  374: beta  161, exp  203
constant  375: beta   33, exp   61
constant  376: beta   53, exp   94
constant  377: beta  142, exp  211
constant  378: beta  113, exp  158
constant  379: beta  139, exp  195
constant  380: beta  119, exp  188
constant  381: beta  162, exp  211
constant  382: beta  131, exp  171
constant  383: beta  230, exp  265
constant  384: beta  161, exp  205
constant  385: beta   34, exp   67
constant  386: beta   47, exp   80
constant  387: beta  142, exp  213
constant  388: beta  113, exp  160
constant  389: beta  139, exp  197
constant  390: beta  154, exp  222
constant  391: beta   71, exp  112
constant  392: beta  140, exp  236
constant  393: beta  160, exp  257
constant  394: beta  161, exp  261
constant  395: beta  116, exp  179
constant  396: beta  117, exp  185
constant  397: beta    0, exp    0
constant  398: beta    0, exp    2
constant  399: beta    0, exp    2
constant  400: beta    6, exp   16
constant  401: beta    6, exp   16
constant  402: beta    9, exp   16
constant  403: beta    9, exp   16
constant  404: beta   17, exp   32
constant  405: beta   24, exp   38
constant  406: beta   23, exp   44
constant  407: beta   30, exp   50
constant  408: beta   18, exp   30
constant  409: beta   17, exp   43
constant  410: beta   33, exp   55
constant  411: beta   14, exp   33
constant  412: beta   18, exp   30
constant  413: beta   22, exp   48
constant  414: beta   39, exp   75
constant  415: beta   46, exp   76
constant  416: beta   46, exp   76
constant  417: beta   40, exp   70
constant  418: beta   76, exp  124
constant  419: beta   33, exp   55
constant  420: beta   40, exp   67
constant  421: beta   40, exp   67
constant  422: beta   39, exp   69
constant  423: beta   39, exp   69
constant  424: beta   10, exp   30
constant  425: beta   66, exp  102
constant  426: beta   48, exp   77
constant  427: beta   16, exp   27
constant  428: beta   53, exp   87
constant  429: beta   62, exp   90
constant  430: beta   54, exp   79
constant  431: beta  170, exp  248
constant  432: beta   97, exp  141
constant  433: beta   96, exp  141
constant  434: beta   13, exp   26
constant  435: beta   55, exp   94
constant  436: beta   62, exp  100
constant  437: beta    8, exp   33
constant  438: beta   14, exp   43
constant  439: beta   24, exp   53
constant  440: beta  100, exp  121
constant  441: beta  100, exp  121
constant  442: beta   10, exp   35
constant  443: beta   68, exp  113
constant  444: beta   48, exp   87
constant  445: beta   48, exp   87
constant  446: beta  182, exp  233
constant  447: beta  320, exp  426
constant  448: beta  253, exp  328
constant  449: beta  143, exp  204
constant  450: beta   80, exp  136
constant  451: beta   34, exp   65
constant  452: beta   37, exp   62
constant  453: beta  140, exp  209
constant  454: beta  118, exp  189
constant  455: beta  229, exp  312
constant  456: beta  207, exp  289
constant  457: beta  216, exp  291
constant  458: beta  151, exp  220
constant  459: beta  151, exp  220
constant  460: beta  155, exp  249
constant  461: beta  147, exp  213
constant  462: beta  284, exp  399
constant  463: beta  228, exp  346
constant  464: beta  255, exp  317
constant  465: beta   52, exp  106
constant  466: beta  121, exp  162
constant  467: beta  150, exp  203
constant  468: beta   31, exp   61
constant  469: beta   69, exp  132
constant  470: beta   86, exp  155
constant  471: beta   49, exp  100
constant  472: beta  104, exp  188
constant  473: beta  108, exp  197
constant  474: beta   97, exp  177
constant  475: beta  167, exp  284
constant  476: beta  177, exp  293
constant  477: beta  171, exp  300
constant  478: beta  173, exp  261
constant  479: beta  173, exp  261
constant  480: beta  154, exp  278
constant  481: beta  154, exp  278
constant  482: beta  318, exp  467
constant  483: beta  191, exp  333
constant  484: beta  256, exp  385
constant  485: beta  270, exp  440
constant  486: beta   15, exp   41
constant  487: beta   74, exp  133
constant  488: beta  106, exp  136
constant  489: beta  177, exp  260
constant  490: beta  261, exp  323
constant  491: beta  250, exp  309
constant  492: beta  277, exp  342
constant  493: beta  312, exp  393
constant  494: beta  312, exp  393
constant  495: beta  599, exp  577
constant  496: beta  292, exp  363
constant  497: beta  292, exp  363
constant  498: beta  782, exp  698
constant  499: beta  493, exp  494
constant  500: beta  405, exp  426
constant  501: beta  278, exp  318
constant  502: beta  248, exp  311
constant  503: beta  143, exp  195
constant  504: beta  257, exp  352
constant  505: beta  379, exp  468
constant  506: beta  205, exp  287
constant  507: beta   20, exp   49
constant  508: beta  128, exp  142
constant  509: beta  128, exp  159
constant  510: beta  156, exp  194
constant  511: beta  260, exp  342
constant  512: beta  307, exp  352
constant  513: beta  307, exp  352
constant  514: beta  162, exp  206
constant  515: beta  770, exp  715
constant  516: beta  480, exp  497
constant  517: beta  223, exp  289
constant  518: beta  427, exp  540
constant  519: beta  293, exp  402
constant  520: beta  340, exp  421
constant  521: beta  512, exp  584
constant  522: beta  319, exp  425
constant  523: beta    0, exp    0
constant  524: beta    6, exp    9
constant  525: beta    4, exp    7
constant  526: beta    6, exp   11
constant  527: beta    3, exp    6
constant  528: beta    3, exp    6
constant  529: beta    3, exp    6
constant  530: beta    0, exp    0
constant  531: beta    0, exp    0
constant  532: beta   29, exp   43
constant  533: beta    2, exp    6
constant  534: beta    4, exp   12
constant  535: beta    3, exp    7
constant  536: beta   11, exp   19
constant  537: beta    1, exp   10
constant  538: beta    4, exp   17
constant  539: beta   28, exp   45
constant  540: beta   28, exp   47
constant  541: beta   65, exp   92
constant  542: beta   81, exp  116
constant  543: beta   27, exp   45
constant  544: beta   11, exp   27
constant  545: beta   41, exp   68
constant  546: beta    4, exp    7
constant  547: beta    2, exp    9
constant  548: beta   10, exp   25
constant  549: beta   21, exp   39
constant  550: beta   11, exp   17
constant  551: beta   20, exp   38
constant  552: beta   28, exp   49
constant  553: beta   19, exp   36
constant  554: beta   18, exp   35
constant  555: beta   33, exp   57
constant  556: beta   40, exp   64
constant  557: beta   30, exp   51
constant  558: beta   25, exp   47
constant  559: beta    8, exp   15
constant  560: beta   11, exp   17
constant  561: beta    7, exp   17
constant  562: beta   25, exp   49
constant  563: beta   25, exp   49
constant  564: beta   83, exp  101
constant  565: beta   36, exp   56
constant  566: beta   46, exp   75
constant  567: beta   46, exp   75
constant  568: beta   78, exp   90
constant  569: beta   78, exp   90
constant  570: beta  189, exp  216
constant  571: beta  122, exp  135
constant  572: beta   49, exp   67
constant  573: beta   25, exp   42
constant  574: beta    6, exp   10
constant  575: beta   14, exp   30
constant  576: beta   27, exp   47
constant  577: beta   15, exp   24
constant  578: beta    3, exp   11
constant  579: beta   44, exp   55
constant  580: beta   24, exp   47
constant  581: beta   98, exp  129
constant  582: beta   30, exp   57
constant  583: beta   47, exp   61
constant  584: beta   95, exp  119
constant  585: beta  150, exp  179
constant  586: beta   34, exp   57
constant  587: beta   79, exp  111
constant  588: beta   38, exp   61
constant  589: beta   38, exp   58
constant  590: beta   20, exp   34
constant  591: beta   37, exp   67
constant  592: beta   14, exp   26
constant  593: beta    6, exp    7
constant  594: beta   23, exp   56
constant  595: beta   34, exp   58
constant  596: beta   37, exp   65
constant  597: beta   36, exp   54
constant  598: beta   21, exp   33
constant  599: beta   31, exp   45
constant  600: beta   56, exp   81
constant  601: beta   47, exp   69
constant  602: beta   24, exp   43
constant  603: beta   34, exp   59
constant  604: beta   24, exp   43
constant  605: beta   34, exp   59
constant  606: beta   38, exp   53
constant  607: beta   38, exp   53
constant  608: beta   65, exp   94
constant  609: beta   15, exp   21
constant  610: beta   92, exp  126
constant  611: beta   39, exp   64
constant  612: beta  153, exp  202
constant  613: beta   52, exp   79
constant  614: beta   19, exp   33
constant  615: beta   45, exp   71
